2024.06.18 00:39:58 INFO  Started: Metals version 1.3.1 in folders 'C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea' for client Visual Studio Code 1.90.1.
SLF4J(W): Class path contains multiple SLF4J providers.
SLF4J(W): Found provider [scribe.slf4j.ScribeServiceProvider@18b1e155]
SLF4J(W): Found provider [ch.qos.logback.classic.spi.LogbackServiceProvider@118db580]
SLF4J(W): See https://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J(I): Actual provider is of type [scribe.slf4j.ScribeServiceProvider@18b1e155]
2024.06.18 00:39:58 WARN  Flyway upgrade recommended: H2 2.2.224 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.220.
2024.06.18 00:39:59 INFO  no build target found for C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea\diskArea.scala. Using presentation compiler with project's scala-library version: 3.3.3
2024.06.18 00:40:02 INFO  Running List(C:\Users\irushi weerasinghe\AppData\Local\Coursier\data\bin\scala-cli.BAT, setup-ide, C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea)
2024.06.18 00:40:02 WARN  Could not find semantic tokens for: file:///C:/Users/irushi%20weerasinghe/Desktop/Practical01/diskArea/diskArea.scala
2024.06.18 00:40:02 INFO  Attempting to connect to the build server...
2024.06.18 00:40:02 INFO  Running BSP server List(C:\Users\irushi weerasinghe\AppData\Local\Coursier\data\bin\.scala-cli.aux.exe, bsp, --json-options, C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea\.scala-build\ide-options-v2.json, --json-launcher-options, C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea\.scala-build\ide-launcher-options.json, --envs-file, C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea\.scala-build\ide-envs.json, C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea)
2024.06.18 00:40:03 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\Users\irushi weerasinghe\Desktop\Practical01\diskArea\.metals\bsp.trace.json or C:\Users\irushi weerasinghe\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.06.18 00:40:03 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.17-sc-2/bloop-frontend_2.12-1.5.17-sc-2.pom
2024.06.18 00:40:05 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.17-sc-2/bloop-frontend_2.12-1.5.17-sc-2.pom
2024.06.18 00:40:05 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.14/logback-classic-1.4.14.pom
2024.06.18 00:40:05 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/scala-debug-adapter_2.12/4.1.1/scala-debug-adapter_2.12-4.1.1.pom
2024.06.18 00:40:05 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.12/2.0.0/bloop-config_2.12-2.0.0.pom
2024.06.18 00:40:05 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/libdaemon/libdaemon_2.12/0.0.11/libdaemon_2.12-0.0.11.pom
2024.06.18 00:40:05 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.17-sc-2/bloop-backend_2.12-1.5.17-sc-2.pom
2024.06.18 00:40:05 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.14/logback-classic-1.4.14.pom
2024.06.18 00:40:05 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.12/2.0.0/bloop-config_2.12-2.0.0.pom
